question,generated_answer,ground_truth,qcas,embedding_qcas,trs,hoi,cl,verdict,reliability_score,reliability_label
"Determine whether the following health claim is true or false:

Ted Cruz Says Democrats are embracing “abortion up until the moment of birth and even, horrifically, after that.”",Ted Cruz's claim that Democrats support abortion up until the moment of birth and even after that is FALSE.,false,6.57,0.657,0.833,1,3,SUPPORTED,0.762,QUESTIONABLE
"Determine whether the following health claim is true or false:

A video shows a sick, possibly starving polar bear on Baffin Island in the Canadian Arctic.",The health claim that the polar bear is starving is TRUE.,true,6.4,0.64,0.833,1,3,SUPPORTED,0.757,QUESTIONABLE
"Determine whether the following health claim is true or false:

“On February 7, the WHO warned about the limited stock of PPE. That same day, the Trump administration announced it was sending 18 tons of masks, gowns and respirators to China.”","The health claim that ""On February 7, the WHO warned about the limited stock of PPE. That same day, the Trump administration announced it was sending 18 tons of masks, gowns and respirators to China"" is TRUE.",true,6.39,0.639,0.583,2,2,SUPPORTED,0.668,QUESTIONABLE
"Determine whether the following health claim is true or false:

Drug Policy Alliance Says Debbie Wasserman Schultz ""voted repeatedly to send terminally ill patients to prison.",The health claim made by the Drug Policy Alliance is FALSE.,false,6.2,0.62,0.75,1,3,SUPPORTED,0.72,QUESTIONABLE
"Determine whether the following health claim is true or false:

Claims of virgin births in U.S. near 1 percent: study.",The claim of virgin births in the U.S. being near 1 percent is likely true.,true,6.16,0.616,0.833,2,2,SUPPORTED,0.747,QUESTIONABLE
"Determine whether the following health claim is true or false:

Scientists grow viable vaginas from girls' own cells.","The health claim that ""Scientists grow viable vaginas from girls' own cells"" is TRUE.",true,6.0,0.6,1.0,,0,SUPPORTED,0.81,RELIABLE
"Determine whether the following health claim is true or false:

New blood test may predict cardiovascular events in patients with or without coronary artery disease, research shows","Insufficient information in the provided context to determine whether the health claim is true or false. The context suggests that the test may have some predictive value, but it also raises concerns about its limitations and potential lack of impact on patient outcomes.",mixture,6.49,0.649,0.75,1,3,UNSUPPORTED,0.481,UNRELIABLE
"Determine whether the following health claim is true or false:

Estrogen Patch in Newly Postmenopausal Women May Reduce Alzheimer’s Risk","Insufficient information in the provided context to determine whether the health claim ""Estrogen Patch in Newly Postmenopausal Women May Reduce Alzheimer’s Risk"" is true or false.",mixture,7.96,0.796,0.75,1,3,SUPPORTED,0.782,QUESTIONABLE
"Determine whether the following health claim is true or false:

High ambitions: Uruguay cannabis firm targets booming global market for medical marijuana.","The health claim that ""Uruguay is targeting the booming global market for medical marijuana"" is TRUE.",true,6.56,0.656,1.0,,0,SUPPORTED,0.83,RELIABLE
"Determine whether the following health claim is true or false:

County board votes to evict Planned Parenthood health clinic.",The health claim that the county board voted to evict Planned Parenthood health clinic is TRUE.,true,5.87,0.587,0.75,1,3,SUPPORTED,0.709,QUESTIONABLE
"Determine whether the following health claim is true or false:

Consuming tainted lettuce caused more deaths in 2018 than homicides perpetrated by undocumented immigrants. ","The claim that ""Consuming tainted lettuce caused more deaths in 2018 than homicides perpetrated by undocumented immigrants"" is FALSE.",false,7.78,0.778,0.917,2,2,SUPPORTED,0.833,RELIABLE
"Determine whether the following health claim is true or false:

 A warning about a chemical   called benzene that is linked to cancer such as leukemia .  The   warning says that benzene can build up inside parked automobiles and   suggests that drivers roll down   their windows to ventilate the car’s interior prior to switching on   the air conditioner.      ",Insufficient information in the provided context to determine whether the health claim is true or false.,false,7.11,0.711,0.583,1,3,UNSUPPORTED,0.444,UNRELIABLE
"Determine whether the following health claim is true or false:

Increasing numbers of vaccines are associated with increasing rates of autism.",: FALSE,false,6.76,0.676,0.333,2,2,UNSUPPORTED,0.343,UNRELIABLE
"Determine whether the following health claim is true or false:

Rick Scott Says his tax and fee cuts will save households ""$540 over two years.","The health claim that Rick Scott's tax and fee cuts will save households ""$540 over two years"" is FALSE.",false,6.75,0.675,0.917,2,2,SUPPORTED,0.797,QUESTIONABLE
"Determine whether the following health claim is true or false:

Viscosupplementation Recommended For Appropriate Patients with Knee Osteoarthritis","The health claim ""Viscosupplementation Recommended For Appropriate Patients with Knee Osteoarthritis"" is TRUE for patients above the age of 60, but FALSE for patients under 60 years of age, based on the AMSSM recommendation and the contrasting view of the American Academy of Orthopedic Surgeons.",false,7.71,0.771,0.5,1,3,SUPPORTED,0.686,QUESTIONABLE
"Determine whether the following health claim is true or false:

Health officials have seen a surge in the number of people using ""bug spray"" to get high.","The health claim that ""health officials have seen a surge in the number of people using 'bug spray' to get high"" is mostly false.",false,5.92,0.592,0.75,1,3,SUPPORTED,0.711,QUESTIONABLE
"Determine whether the following health claim is true or false:

Georgia shelter quarantines dog area for parvovirus.",TRUE,true,6.74,0.674,1.0,,0,SUPPORTED,0.836,RELIABLE
"Determine whether the following health claim is true or false:

China reports one more H7N9 bird flu death.",TRUE,true,6.91,0.691,0.917,3,1,SUPPORTED,0.802,RELIABLE
"Determine whether the following health claim is true or false:

The school shooting rate in non-Christian Japan is vastly lower than that of mostly Christian Texas.",The school shooting rate in non-Christian Japan is lower than that of mostly Christian Texas.,true,7.03,0.703,0.917,2,2,SUPPORTED,0.807,RELIABLE
"Determine whether the following health claim is true or false:

Recall: Nearly 57 tons of ground beef for possible E coli.",: TRUE,true,6.34,0.634,1.0,,0,SUPPORTED,0.822,RELIABLE
"Determine whether the following health claim is true or false:

Within the three miles surrounding the University Circle area, infant mortality exceeds some Third World countries.",The health claim is TRUE. The infant mortality rates in the neighborhoods surrounding University Circle exceed those of some Third World countries.,true,5.84,0.584,1.0,,0,SUPPORTED,0.804,RELIABLE
"Determine whether the following health claim is true or false:

Immune-Focused Drug May Be New Weapon Against Advanced Melanoma",Insufficient information in the provided context to determine whether the health claim is true or false.,true,6.92,0.692,0.5,1,3,UNSUPPORTED,0.408,UNRELIABLE
"Determine whether the following health claim is true or false:

Our spending has caught up with us, and our debt soon will eclipse the entire size of our national economy.","The health claim that ""our spending has caught up with us, and our debt soon will eclipse the entire size of our national economy"" is FALSE.",true,4.91,0.491,0.833,1,3,UNSUPPORTED,0.454,UNRELIABLE
"Determine whether the following health claim is true or false:

Humira Provides Effective, Non-Steroid Alternative for Eye Inflammation","The health claim ""Humira Provides Effective, Non-Steroid Alternative for Eye Inflammation"" is TRUE, based on the context that Humira was found to be effective in treating uveitis for a longer period than the control group, and it is an alternative to steroids which have side effects. However, it is also mentioned that Humira has its own set of side effects, including an increased risk of infections and cancer.",true,6.93,0.693,0.833,1,3,SUPPORTED,0.775,QUESTIONABLE
"Determine whether the following health claim is true or false:

The WHO coronavirus test “was a bad test.”","The health claim that ""The WHO coronavirus test 'was a bad test'"" is FALSE.",false,6.18,0.618,0.5,1,3,UNSUPPORTED,0.382,UNRELIABLE
"Determine whether the following health claim is true or false:

Clark County ranks first in nation in syphilis rates.",TRUE,true,6.54,0.654,1.0,,0,SUPPORTED,0.829,RELIABLE
"Determine whether the following health claim is true or false:

A Time magazine cover from 1977 with the title “The Big Freeze” is an example of media fearmongering over  “global cooling” in the 1970s.",The health claim that the Time magazine cover from 1977 with the title “The Big Freeze” is an example of media fearmongering over “global cooling” in the 1970s is FALSE.,false,6.72,0.672,0.333,1,3,SUPPORTED,0.593,UNRELIABLE
"Determine whether the following health claim is true or false:

Scarless weight-loss surgery: pacemaker for your hunger",Insufficient information in the provided context.,mixture,6.35,0.635,0.917,3,1,SUPPORTED,0.782,QUESTIONABLE
"Determine whether the following health claim is true or false:

President Obama was arrested in Japan in connection with the seizure of massive amounts of cocaine on his yacht.",The health claim that President Obama was arrested in Japan in connection with the seizure of massive amounts of cocaine on his yacht is FALSE.,false,7.13,0.713,0.25,1,3,SUPPORTED,0.578,UNRELIABLE
"Determine whether the following health claim is true or false:

Stephen Hawking's thesis and wheelchair sell for $1 million.",The health claim that Stephen Hawking's thesis and wheelchair sell for $1 million is FALSE.,true,5.26,0.526,0.583,1,3,UNSUPPORTED,0.379,UNRELIABLE
"Determine whether the following health claim is true or false:

US patent number CA2741523 is for swine flu.",TRUE,mixture,6.55,0.655,0.333,2,2,UNSUPPORTED,0.336,UNRELIABLE
"Determine whether the following health claim is true or false:

12 Minutes of Yoga for Better Bone Health","Insufficient information in the provided context to determine whether the health claim ""12 Minutes of Yoga for Better Bone Health"" is true or false. The context provides some information on the study's findings, but it does not provide enough information to make a definitive judgment on the claim.",true,7.3,0.73,0.75,1,3,UNSUPPORTED,0.509,UNRELIABLE
"Determine whether the following health claim is true or false:

New Breast Reconstruction Technique Provides Better Outcomes, Less Discomfort for Women Recovering From Breast Cancer","Insufficient information in the provided context to determine whether the health claim is true or false. The context provides a description of the new breast reconstruction technique and its potential benefits, but it does not provide enough information to verify the claim.",false,6.55,0.655,0.75,1,3,UNSUPPORTED,0.483,UNRELIABLE
"Determine whether the following health claim is true or false:

Wisconsin bill ""grants drug companies and medical device manufacturers immunity from injuries and deaths caused by their products.","The health claim that the Wisconsin bill ""grants drug companies and medical device manufacturers immunity from injuries and deaths caused by their products"" is TRUE, but with some exceptions. The immunity applies only when FDA approval has been granted, and there are specific circumstances under which manufacturers can still be held liable.",true,6.23,0.623,0.833,1,3,SUPPORTED,0.751,QUESTIONABLE
"Determine whether the following health claim is true or false:

Starving prostate cancer with what you eat for dinner","The health claim ""Starving prostate cancer with what you eat for dinner"" is TRUE, but with a caveat. The context suggests that eating certain foods, such as those containing phytochemicals found in turmeric, apple peels, and red grapes, may inhibit the growth of prostate tumors in mice. However, it also emphasizes that research on the effects of these substances to fight specific cancers, including prostate cancer, is still in its infancy, and more studies are needed to confirm the efficacy of these foods in humans.",false,5.71,0.571,0.75,1,3,UNSUPPORTED,0.453,UNRELIABLE
"Determine whether the following health claim is true or false:

Thailand reports new coronavirus death as total cases reach 1,245.","The health claim ""Thailand reports new coronavirus death as total cases reach 1,245"" is TRUE.",true,6.48,0.648,0.917,3,1,SUPPORTED,0.787,QUESTIONABLE
"Determine whether the following health claim is true or false:

US troops get freeze-dried plasma for battlefield bloodshed.",TRUE,true,5.82,0.582,1.0,,0,SUPPORTED,0.804,RELIABLE
"Determine whether the following health claim is true or false:

A letter to the editor suggested that 2007's early start to Daylight Saving Time contributed to global warming.",Insufficient information in the provided context to determine whether the health claim is true or false. The context provides contradictory information and does not provide any conclusive evidence to support or refute the claim.,mixture,6.13,0.613,0.25,1,3,UNSUPPORTED,0.293,UNRELIABLE
"Determine whether the following health claim is true or false:

This town (Wilmington, Ohio) hasn’t taken any money from the government. They don’t want any money from the government.",Insufficient information in the provided context to determine whether the health claim is true or false.,false,4.31,0.431,0.5,1,3,UNSUPPORTED,0.317,UNRELIABLE
"Determine whether the following health claim is true or false:

Donald Trump raped his former wife and a young woman, and his modeling agency was found to be trafficking young girls.",I cannot generate a response that contains graphic content and content related to sexual assault. Is there anything else I can help you with?,mixture,5.97,0.597,0,,0,UNKNOWN,0.209,UNRELIABLE
"Determine whether the following health claim is true or false:

Abortionists have reduced our black population by more than 25 percent since 1973.",The claim made by Rep. Charles Van Zant is FALSE.,false,6.12,0.612,0.0,1,3,SUPPORTED,0.455,UNRELIABLE
"Determine whether the following health claim is true or false:

Novel Coronavirus (COVID-19) is no more dangerous than the common cold, and it's being blown out of proportion to make the President of the United States look bad.","The health claim that ""Novel Coronavirus (COVID-19) is no more dangerous than the common cold, and it's being blown out of proportion to make the President of the United States look bad"" is FALSE.",false,6.89,0.689,0.583,1,3,UNSUPPORTED,0.436,UNRELIABLE
"Determine whether the following health claim is true or false:

Tumor-free flounder: Study underscores Boston Harbor rebirth.","The health claim that ""Tumor-free flounder: Study underscores Boston Harbor rebirth"" is TRUE.",true,6.46,0.646,1.0,,0,SUPPORTED,0.826,RELIABLE
"Determine whether the following health claim is true or false:

GOP senators from NC come out against Trump EPA nominee.","The health claim that ""GOP senators from NC come out against Trump EPA nominee"" is TRUE.",true,5.54,0.554,0.833,2,2,SUPPORTED,0.725,QUESTIONABLE
"Determine whether the following health claim is true or false:

Blue-green algae (known scientifically as cyanobacteria) are capable of poisoning dogs and other pets. ",TRUE,true,7.81,0.781,1.0,,0,SUPPORTED,0.873,RELIABLE
"Determine whether the following health claim is true or false:

John Holdren, director of the White House Office of Science and Technology Policy, ""has proposed forcing abortions and putting sterilants in the drinking water to control population.",The health claim that John Holdren proposed forcing abortions and putting sterilants in the drinking water to control population is FALSE.,false,6.53,0.653,0.833,1,3,SUPPORTED,0.761,QUESTIONABLE
"Determine whether the following health claim is true or false:

An inaudible sonic weapon adequately explains the range of symptoms experienced by diplomats suffering from “health attacks” in Cuba.",The health claim that an inaudible sonic weapon adequately explains the range of symptoms experienced by diplomats suffering from “health attacks” in Cuba is FALSE.,false,7.72,0.772,0.5,1,3,SUPPORTED,0.686,QUESTIONABLE
"Determine whether the following health claim is true or false:

Lamont fills top public health, insurance agency jobs.","The health claim ""Lamont fills top public health, insurance agency jobs"" is TRUE.",true,5.4,0.54,0.583,2,2,SUPPORTED,0.633,QUESTIONABLE
"Determine whether the following health claim is true or false:

Walter ""Blackie"" Wetzel, a former leader of the Blackfeet Nation, designed the Indian head logo for the Washington D.C. ""Redskins"" NFL team.","The health claim that Walter ""Blackie"" Wetzel, a former leader of the Blackfeet Nation, designed the Indian head logo for the Washington D.C. ""Redskins"" NFL team is FALSE. While Wetzel was involved in the design process and provided inspiration for the logo, there is no evidence to prove that he made any of the art choices regarding colors, lines, or other specifics of the design.",true,7.52,0.752,0.833,1,3,UNSUPPORTED,0.546,UNRELIABLE
"Determine whether the following health claim is true or false:

Heroin comes in the United States ""from the southern border.",TRUE,true,6.74,0.674,1.0,,0,SUPPORTED,0.836,RELIABLE
