question,generated_answer,ground_truth,qcas,embedding_qcas,trs,hoi,cl,verdict,reliability_score,reliability_label
Juan and LaKeisha roll a few objects down a ramp. They want to see which object rolls the farthest. What should they do so they can repeat their investigation? (A) Put the objects in groups. (B) Change the height of the ramp. (C) Choose different objects to roll. (D) Record the details of the investigation.,(D) Record the details of the investigation.,Record the details of the investigation.,6.93,0.693,1.0,,0,SUPPORTED,0.843,RELIABLE
High-pressure systems stop air from rising into the colder regions of the atmosphere where water can condense. What will most likely result if a high-pressure system remains in an area for a long period of time? (A) fog (B) rain (C) drought (D) tornado,(C) drought,drought,6.42,0.642,0.917,2,2,SUPPORTED,0.786,QUESTIONABLE
"Students visited the Morris W. Offit telescope located at the Maryland Space Grant Observatory in Baltimore. They learned about the stars, planets, and moon. The students recorded the information below. • Star patterns stay the same, but their locations in the sky seem to change. • The sun, planets, and moon appear to move in the sky. • Proxima Centauri is the nearest star to our solar system. • Polaris is a star that is part of a pattern of stars called the Little Dipper. Which statement best explains why the sun appears to move across the sky each day? (A) The sun revolves around Earth. (B) Earth rotates around the sun. (C) The sun revolves on its axis. (D) Earth rotates on its axis.",(D) Earth rotates on its axis.,Earth rotates on its axis.,8.97,0.897,0.917,1,3,SUPPORTED,0.876,RELIABLE
Which topic area would be the best to research to find ways of reducing environmental problems caused by humans? (A) converting sunlight into electricity (B) looking for new coal reserves (C) finding reservoirs that contain oil (D) converting forests into farmland,The best answer is A.,converting sunlight into electricity,7.35,0.735,0.5,1,3,SUPPORTED,0.673,QUESTIONABLE
"One year, the oak trees in a park began producing more acorns than usual. The next year, the population of chipmunks in the park also increased. Which best explains why there were more chipmunks the next year? (A) Shady areas increased. (B) Food sources increased. (C) Oxygen levels increased. (D) Available water increased.",(B) Food sources increased.,Food sources increased.,7.82,0.782,1.0,,0,SUPPORTED,0.874,RELIABLE
Which characteristic of a cheetah is more likely to be learned rather than inherited? (A) speed (B) a spotted coat (C) hunting strategies (D) claws that do not retract,(C) hunting strategies,hunting strategies,7.49,0.749,0.75,1,3,SUPPORTED,0.766,QUESTIONABLE
How are the particles in a block of iron affected when the block is melted? (A) The particles gain mass. (B) The particles contain less energy. (C) The particles move more rapidly. (D) The particles increase in volume.,(C) The particles move more rapidly.,The particles move more rapidly.,7.08,0.708,0.75,1,3,SUPPORTED,0.751,QUESTIONABLE
Plants and animals need food for growth. What happens to most of the food that plants produce? (A) Food is released as gas. (B) Food is converted to water. (C) Food is stored for future use. (D) Food is used to absorb sunlight.,(C) Food is stored for future use.,Food is stored for future use.,7.71,0.771,0.833,1,3,SUPPORTED,0.802,RELIABLE
A student wants to determine the effect of garlic on the growth of a fungus species. Several samples of fungus cultures are grown in the same amount of agar and light. Each sample is given a different amount of garlic. What is the independent variable in this investigation? (A) amount of agar (B) amount of light (C) amount of garlic (D) amount of growth,The correct answer is (C) amount of garlic.,amount of garlic,7.64,0.764,1.0,,0,SUPPORTED,0.867,RELIABLE
Scientific models are very common. For which purpose below would a physical model be least helpful? (A) simulating scientific phenomena (B) simplifying a complex idea (C) allowing visualization (D) displaying data,(D) displaying data,displaying data,6.95,0.695,0.75,1,3,SUPPORTED,0.747,QUESTIONABLE
"During an investigation, heat transferred from a liquid to the environment. Which pair of explanations can best account for this result? (A) The temperature of the liquid increased, or the liquid became a gas. (B) The temperature of the liquid increased, or the liquid became a solid. (C) The temperature of the liquid decreased, or the liquid became a gas. (D) The temperature of the liquid decreased, or the liquid became a solid.","(C) The temperature of the liquid decreased, or the liquid became a gas.

This answer is consistent with the reasoning steps, as heat transfer from the liquid to the environment can cause a decrease in temperature or a change in state from liquid to gas.","The temperature of the liquid decreased, or the liquid became a solid.",7.13,0.713,0.833,2,2,SUPPORTED,0.781,QUESTIONABLE
"Laboratory rats were fed blueberries, strawberries, or spinach supplements along with their regular food. After eight weeks, the rats were given memory and motor skills tests. The rats given the blueberry supplement showed the most improvement. Which is the independent (manipulated) variable of the investigation? (A) the motor skills test (B) the aging process (C) the memory test (D) the supplements",The correct answer is (D) the supplements.,the supplements,7.8,0.78,1.0,,0,SUPPORTED,0.873,RELIABLE
Janette conducts an investigation to see which foods make her feel more fatigued. She eats one of four different foods each day at the same time for four days and then records how she feels. She asks her friend Carmen to do the same investigation to see if she gets similar results. Which would make the investigation most difficult to replicate? (A) measuring the amount of fatigue (B) making sure the same foods are eaten (C) recording observations in the same chart (D) making sure the foods are at the same temperature,(A) measuring the amount of fatigue,measuring the amount of fatigue,7.43,0.743,0.75,1,3,SUPPORTED,0.764,QUESTIONABLE
Approximately 50 million acres of tropical rainforest are cleared each year. Which effect most likely would result from the clearing of these forests? (A) a decrease in soil erosion (B) a decrease in biodiversity (C) an improvement in air quality (D) an improvement in water quality,(B) a decrease in biodiversity,a decrease in biodiversity,8.14,0.814,0.75,1,3,SUPPORTED,0.788,QUESTIONABLE
Which action does not represent a safety procedure in the lab? (A) tasting chemical samples (B) using heat-resistant gloves if glassware is hot (C) tying back long hair (D) washing a chemical splash with lots of water,(A) tasting chemical samples,tasting chemical samples,8.12,0.812,0.833,1,3,SUPPORTED,0.817,RELIABLE
