question,generated_answer,ground_truth,qcas,embedding_qcas,trs,hoi,cl,verdict,reliability_score,reliability_label
What is George Rankin's occupation?,George Rankin's occupation is politician.,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",5.8,0.58,0.667,1,3,SUPPORTED,0.677,QUESTIONABLE
What is John Mayne's occupation?,John Mayne's occupation is a journalist.,"[""journalist"", ""journo"", ""journalists""]",5.91,0.591,1.0,,0,SUPPORTED,0.807,RELIABLE
What is Henry Feilden's occupation?,Henry Feilden's occupation is a politician.,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",5.97,0.597,0.667,1,3,SUPPORTED,0.683,QUESTIONABLE
What is Kathy Saltzman's occupation?,Kathy Saltzman's occupation is a politician.,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4.96,0.496,0.667,1,3,SUPPORTED,0.648,QUESTIONABLE
What is Eleanor Davis's occupation?,"Eleanor Davis's occupation is a cartoonist, which can also be referred to as a graphic artist, animator, or illustrator.","[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",6.51,0.651,0.667,1,3,SUPPORTED,0.702,QUESTIONABLE
What is Alexander Rinnooy Kan's occupation?,"Alexander Rinnooy Kan's occupation is mathematician, and also possibly economist.","[""mathematician"", ""economist"", ""economists""]",6.34,0.634,1.0,,0,SUPPORTED,0.822,RELIABLE
What is Scooter Braun's occupation?,"Scooter Braun's occupation is talent manager (or alternatively, artist manager, band manager, music manager, musician manager, manager, or pop entrepreneur).","[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]",6.1,0.61,0.667,1,3,SUPPORTED,0.688,QUESTIONABLE
What is Leona Detiège's occupation?,Leona Detiège's occupation is politician.,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",6.66,0.666,0.667,1,3,SUPPORTED,0.708,QUESTIONABLE
"What is William Murray, 1st Earl of Mansfield's occupation?","William Murray, 1st Earl of Mansfield's occupation is a politician.","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",7.53,0.753,1.0,,0,SUPPORTED,0.864,RELIABLE
What is Þorsteinn Bachmann's occupation?,Þorsteinn Bachmann's occupation is an actor.,"[""actor"", ""actress"", ""actors"", ""actresses""]",6.99,0.699,0.333,1,3,SUPPORTED,0.602,QUESTIONABLE
What is Herlyn Espinal's occupation?,Herlyn Espinal's occupation is a journalist.,"[""journalist"", ""journo"", ""journalists""]",6.23,0.623,0.333,1,3,SUPPORTED,0.576,UNRELIABLE
What is Jacob Kraemer's occupation?,Jacob Kraemer's occupation is an actor.,"[""actor"", ""actress"", ""actors"", ""actresses""]",6.96,0.696,1.0,,0,SUPPORTED,0.844,RELIABLE
What is Fred C. Newmeyer's occupation?,Fred C. Newmeyer's occupation is a film director.,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",6.26,0.626,1.0,,0,SUPPORTED,0.819,RELIABLE
What is Edward Corser's occupation?,Edward Corser's occupation is politician.,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",6.52,0.652,0.667,1,3,SUPPORTED,0.703,QUESTIONABLE
